"No.","Time","Source","Destination","Protocol","Length","Info"
"25533","3.820395","118.93.64.107","10.10.10.10","TCP","60","54184  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25534","3.820395","207.57.148.82","10.10.10.10","TCP","60","11843  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25535","3.820396","31.148.130.111","10.10.10.10","TCP","60","39481  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25536","3.820396","116.34.180.160","10.10.10.10","TCP","60","53030  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25537","3.820397","34.132.103.16","10.10.10.10","TCP","60","27476  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25538","3.820398","68.125.233.118","10.10.10.10","TCP","60","30988  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25539","3.820398","132.251.17.75","10.10.10.10","TCP","60","28937  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25540","3.820494","212.35.71.255","10.10.10.10","TCP","60","59890  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25541","3.820494","194.25.185.14","10.10.10.10","TCP","60","15382  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25542","3.820495","131.246.238.148","10.10.10.10","TCP","60","37618  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25543","3.820496","168.215.254.92","10.10.10.10","TCP","60","1998  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25544","3.820497","98.66.200.103","10.10.10.10","TCP","60","19303  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25545","3.820497","153.106.125.71","10.10.10.10","TCP","60","57970  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25546","3.820498","1.205.182.20","10.10.10.10","TCP","60","1805  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25547","3.820585","178.172.36.249","10.10.10.10","TCP","60","19746  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25548","3.820585","203.85.121.47","10.10.10.10","TCP","60","7847  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25549","3.820586","49.196.57.231","10.10.10.10","TCP","60","34973  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25550","3.820586","47.240.71.5","10.10.10.10","TCP","60","46406  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25551","3.820587","99.75.142.138","10.10.10.10","TCP","60","53953  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25552","3.820587","60.166.166.237","10.10.10.10","TCP","60","18266  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25553","3.820588","197.12.254.147","10.10.10.10","TCP","60","62990  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25554","3.820589","115.202.13.19","10.10.10.10","TCP","60","43919  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25555","3.820685","117.30.165.51","10.10.10.10","TCP","60","39723  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25556","3.820686","197.41.10.204","10.10.10.10","TCP","60","65233  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25557","3.820687","33.19.166.152","10.10.10.10","TCP","60","64154  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25558","3.820687","54.68.138.4","10.10.10.10","TCP","60","22245  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25559","3.820688","195.139.22.195","10.10.10.10","TCP","60","37925  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25560","3.820688","15.36.78.159","10.10.10.10","TCP","60","64892  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25561","3.820689","77.156.166.219","10.10.10.10","TCP","60","65406  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25562","3.820690","112.141.169.169","10.10.10.10","TCP","60","21231  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25563","3.820784","31.198.18.71","10.10.10.10","TCP","60","57068  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25564","3.820784","61.125.8.106","10.10.10.10","TCP","60","48034  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25565","3.820785","23.52.253.166","10.10.10.10","TCP","60","3600  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25566","3.820786","62.101.111.140","10.10.10.10","TCP","60","20937  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25567","3.820786","213.28.83.239","10.10.10.10","TCP","60","19856  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25568","3.820787","146.18.167.63","10.10.10.10","TCP","60","12419  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25569","3.820788","178.148.13.108","10.10.10.10","TCP","60","14599  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25570","3.820788","33.150.54.238","10.10.10.10","TCP","60","56927  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25571","3.820881","171.88.231.144","10.10.10.10","TCP","60","979  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25572","3.820882","166.142.168.94","10.10.10.10","TCP","60","35068  >  25565 [SYN] Seq=0 Win=0 Len=0"
